Event	ID	Name			Wwise Object Path	Notes
	239606594	Play_SFX_S_Death			\Default Work Unit\SFX\Play_SFX_S_Death	
	400946182	Event_M_Play_Deathmatch			\Default Work Unit\Music\Event_M_Play_Deathmatch	
	445139456	Play_SFX_UI_Move			\Default Work Unit\SFX\Play_SFX_UI_Move	
	799208851	Play_SFX_S_SlingshotCharge			\Default Work Unit\SFX\Play_SFX_S_SlingshotCharge	
	811711225	Play_SFX_UI_Return			\Default Work Unit\SFX\Play_SFX_UI_Return	
	1721975435	Play_SFX_S_Land			\Default Work Unit\SFX\Play_SFX_S_Land	
	2474506946	Event_M_Play_Menu			\Default Work Unit\Music\Event_M_Play_Menu	
	2557300141	Event_M_Play_Chairs			\Default Work Unit\Music\Event_M_Play_Chairs	
	2655917940	Play_SFX_S_Collision			\Default Work Unit\SFX\Play_SFX_S_Collision	
	3510434704	Play_SFX_S_Jump			\Default Work Unit\SFX\Play_SFX_S_Jump	
	3895889347	Play_SFX_UI_Submit			\Default Work Unit\SFX\Play_SFX_UI_Submit	

State Group	ID	Name			Wwise Object Path	Notes
	4206939811	MusicLevels			\Default Work Unit\MusicLevels	

State	ID	Name	State Group			Notes
	748895195	None	MusicLevels			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	28291394	SFX_Slime_Death_01	C:\Projects\Unity\PlatinumProject\PlatinumProject_WwiseProject\.cache\Mac\SFX\SFX_Slime_Death_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Death\SFX_Slime_Death_01		188342
	68585949	SFX_Slime_Land_04	C:\Projects\Unity\PlatinumProject\PlatinumProject_WwiseProject\.cache\Mac\SFX\SFX_Slime_Land_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Land\SFX_Slime_Land_04		27682
	71336303	SFX_Slime_Land_10	C:\Projects\Unity\PlatinumProject\PlatinumProject_WwiseProject\.cache\Mac\SFX\SFX_Slime_Land_10_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Land\SFX_Slime_Land_10		19652
	78283482	SFX_Slime_Death_04	C:\Projects\Unity\PlatinumProject\PlatinumProject_WwiseProject\.cache\Mac\SFX\SFX_Slime_Death_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Death\SFX_Slime_Death_04		189276
	91126773	RFX_WoodCreaks_08	C:\Projects\Unity\PlatinumProject\PlatinumProject_WwiseProject\.cache\Mac\SFX\RFX_WoodCreaks_08_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Environment\Env_WoodCreaks\RFX_WoodCreaks_08		218944
	108048071	SFX_Slime_Collision_08	C:\Projects\Unity\PlatinumProject\PlatinumProject_WwiseProject\.cache\Mac\SFX\SFX_Slime_Collision_08_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Collision\SFX_Slime_Collision_08		32552
	158094771	SFX_Slime_Jump_03	C:\Projects\Unity\PlatinumProject\PlatinumProject_WwiseProject\.cache\Mac\SFX\SFX_Slime_Jump_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Jump\SFX_Slime_Jump_03		13258
	183655441	SFX_Slime_Collision_06	C:\Projects\Unity\PlatinumProject\PlatinumProject_WwiseProject\.cache\Mac\SFX\SFX_Slime_Collision_06_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Collision\SFX_Slime_Collision_06		29772
	187247080	SFX_Slime_Land_07	C:\Projects\Unity\PlatinumProject\PlatinumProject_WwiseProject\.cache\Mac\SFX\SFX_Slime_Land_07_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Land\SFX_Slime_Land_07		22306
	191800848	SFX_Slime_Collision_07	C:\Projects\Unity\PlatinumProject\PlatinumProject_WwiseProject\.cache\Mac\SFX\SFX_Slime_Collision_07_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Collision\SFX_Slime_Collision_07		34046
	222138720	RFX_WoodCreaks_01	C:\Projects\Unity\PlatinumProject\PlatinumProject_WwiseProject\.cache\Mac\SFX\RFX_WoodCreaks_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Environment\Env_WoodCreaks\RFX_WoodCreaks_01		368704
